amount,year,spending_type,spending_source,gl,crd,donor,sub_vote_name,sub_vote_code,programme_name,programme_code,page,vote_name,vote_code,source
0,2011,actual,forex,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2011,actual,local,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2012,approved,local,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
700000000,2012,approved,forex,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
826000000,2013,estimates,forex,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
100000000,2013,estimates,local,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
0,2011,actual,forex,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
0,2011,actual,local,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
0,2012,approved,local,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
0,2012,approved,forex,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
776000000,2013,estimates,forex,Grant,D,Basket Fund,PUBLIC PROCUREMENT POLICY UNIT (PPU),1009,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
1500000000,2013,estimates,local,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
0,2011,actual,forex,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
197256040,2011,actual,local,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
1500000000,2012,approved,local,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
470000000,2012,approved,forex,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
470400000,2013,estimates,forex,,,,GOVERNMENT BUDGET DIVISION,2001,Public Finance Mgt Reform Program,6251,8,THE TREASURY,21,development
300000000,2013,estimates,local,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
0,2011,actual,forex,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
6000000000,2011,actual,local,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
43669556000,2012,approved,local,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
80000000,2012,approved,forex,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
0,2013,estimates,forex,,,,GOVERNMENT BUDGET DIVISION,2001,MDAs Performance Budget Support and Mgt,6294,8,THE TREASURY,21,development
405000000,2013,estimates,local,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
87600000,2011,actual,forex,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
40665800,2011,actual,local,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
500000000,2012,approved,local,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
528000000,2012,approved,forex,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
576000000,2013,estimates,forex,Grant,D,UNICEF,GOVERNMENT BUDGET DIVISION,2001,Regional Support on Budget Process,6296,8,THE TREASURY,21,development
200000000,2013,estimates,local,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
0,2011,actual,forex,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
0,2011,actual,local,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
0,2012,approved,local,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
0,2012,approved,forex,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
296600000,2013,estimates,forex,Grant,D,UNDP,GOVERNMENT BUDGET DIVISION,2001,UNDP Support Program,6550,8,THE TREASURY,21,development
3145000000,2013,estimates,local,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
0,2011,actual,forex,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
1516000000,2011,actual,local,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
2000000000,2012,approved,local,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
0,2012,approved,forex,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
0,2013,estimates,forex,,,,POLICY ANALYSIS DIVISION,2002,IRDP Expansion,6206,9,THE TREASURY,21,development
100000000,2013,estimates,local,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
0,2011,actual,forex,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
195024273,2011,actual,local,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
500000000,2012,approved,local,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
1564700000,2012,approved,forex,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
228000000,2013,estimates,forex,Grant,D,World Bank,POLICY ANALYSIS DIVISION,2002,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
193000000,2013,estimates,local,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
11283986272,2011,actual,forex,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
0,2011,actual,local,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
0,2012,approved,local,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
6929337000,2012,approved,forex,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
6011541000,2013,estimates,forex,Grant,D,Basket Fund,POLICY ANALYSIS DIVISION,2002,TRA Tax Modernization ProjectRehabilitation of NBS,6255,9,THE TREASURY,21,development
0,2013,estimates,local,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
0,2011,actual,forex,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
3900000000,2011,actual,local,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
0,2012,approved,local,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
0,2012,approved,forex,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
0,2013,estimates,forex,,,,POLICY ANALYSIS DIVISION,2002,6390,6334,9,THE TREASURY,21,development
1000000000,2013,estimates,local,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
0,2011,actual,forex,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
301155000,2011,actual,local,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
0,2012,approved,local,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
0,2012,approved,forex,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
0,2013,estimates,forex,,,,POLICY ANALYSIS DIVISION,2002,EASTC Rehabilitation,6390,9,THE TREASURY,21,development
0,2013,estimates,local,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
7328400411,2011,actual,forex,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
0,2011,actual,local,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
76600000000,2012,approved,local,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
7348506000,2012,approved,forex,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
11780693000,2013,estimates,forex,Grant,D,DFID,POLICY ANALYSIS DIVISION,2002,Tanzania Statistical Master Plan Project,6575,9,THE TREASURY,21,development
0,2013,estimates,local,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
0,2011,actual,forex,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
0,2011,actual,local,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
0,2012,approved,local,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
0,2012,approved,forex,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
7711118000,2013,estimates,forex,Grant,D,Global Fund,EXTERNAL FINANCE DIVISION,4001,Global Fund Management Project,5491,9,THE TREASURY,21,development
100000000,2013,estimates,local,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
0,2011,actual,forex,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
10544168226,2011,actual,local,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
150000000,2012,approved,local,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
115000000,2012,approved,forex,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
379060000,2013,estimates,forex,Grant,D,Basket Fund,EXTERNAL FINANCE DIVISION,4001,Public Finance Mgt Reform Program,6251,9,THE TREASURY,21,development
0,2013,estimates,local,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
0,2011,actual,forex,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
100730000,2011,actual,local,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
0,2012,approved,local,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
0,2012,approved,forex,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
0,2013,estimates,forex,,,,EXTERNAL FINANCE DIVISION,4001,Program Support for NAO,6265,9,THE TREASURY,21,development
0,2013,estimates,local,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
756405115,2011,actual,forex,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
0,2011,actual,local,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
0,2012,approved,local,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
1200000000,2012,approved,forex,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
1027750000,2013,estimates,forex,Grant,D,UNDP,EXTERNAL FINANCE DIVISION,4001,UNDP Support Programme,6550,9,THE TREASURY,21,development
500000000,2013,estimates,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
0,2011,actual,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
900000000,2011,actual,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
500000000,2012,approved,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
0,2012,approved,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
0,2013,estimates,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Small Enterpreneurs Loan Facilities,4916,9,THE TREASURY,21,development
100000000,2013,estimates,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
0,2011,actual,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
250000000,2011,actual,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
150000000,2012,approved,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
0,2012,approved,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
0,2013,estimates,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,National Income Generation Programme,4918,10,THE TREASURY,21,development
250000000,2013,estimates,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
0,2011,actual,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
100000000,2011,actual,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
100000000,2012,approved,local,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
1040000000,2012,approved,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
1040000000,2013,estimates,forex,,,,POVERTY ERADICATION AND EMPOWERMENT,7001,Poverty Monitoring Master Plan (PMMP),6508,10,THE TREASURY,21,development
400000000,2013,estimates,local,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
2302017930,2011,actual,forex,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
9456267814,2011,actual,local,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
3500000000,2012,approved,local,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
2520320000,2012,approved,forex,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
2190147000,2013,estimates,forex,Grant,D,Basket Fund,FINANCIAL MANAGEMENT,3003,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2013,estimates,local,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2011,actual,forex,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2011,actual,local,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2012,approved,local,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
102520000,2012,approved,forex,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
1646400000,2013,estimates,forex,Grant,D,Basket Fund,FINANCIAL SYSTEMS,3004,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2013,estimates,local,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2011,actual,forex,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2011,actual,local,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2012,approved,local,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2012,approved,forex,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
519000000,2013,estimates,forex,Grant,D,Basket Fund,LOCAL GOVERNMENT FINANCES,4001,Public Finance Mgt Reform Programme,6251,12,ACCOUNTANT GENERAL’S DEPARTMENT,23,development
0,2013,estimates,local,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,forex,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,local,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
500000000,2012,approved,local,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2012,approved,forex,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2013,estimates,forex,,,,POLICE MAINFORCE,2001,Strengthening of Public Security,6102,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
500000000,2013,estimates,local,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,forex,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
129673171,2011,actual,local,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
200000000,2012,approved,local,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2012,approved,forex,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2013,estimates,forex,,,,POLICE MAINFORCE,2001,Technical Equipments(Radio and Access),6107,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2013,estimates,local,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
1396522750,2011,actual,forex,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,local,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2012,approved,local,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
471450000,2012,approved,forex,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
1825190000,2013,estimates,forex,Grant,D,Basket Fund,POLICE MAINFORCE,2001,Legal Sector Reform Programme,6204,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2013,estimates,local,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,forex,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,local,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2012,approved,local,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
860800000,2012,approved,forex,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
2155261000,2013,estimates,forex,Grant,D,DFID,POLICE MAINFORCE,2001,Strengthening Tanzania Anti-Corruption A,6210,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2013,estimates,local,,,,POLICE MAINFORCE,2001,Expansion of Training School & Colleges,6343,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
0,2011,actual,forex,,,,POLICE MAINFORCE,2001,Expansion of Training School & Colleges,6343,14,MINISTRY OF HOME AFFAIRS - POLICE FORCE,28,development
